Trait	TraitID	.Hieracium candidum.	.Hieracium murorum.	.Campanula cochleariifolia.	.Campanula persicifolia.	.Lonicera pyrenaica.	.Lonicera xylosteum.	.Silene vulgaris.	.Dioscorea pyrenaica.	.Dioscorea communis.	.Ramonda myconi.	.Streptocarpus ionanthus.	.Hypericum nummularium.	.Hypericum perforatum.	.Sarcocapnos enneaphylla.	.Fumaria officinalis.	.Antirrhinum sempervirens.	.Antirrhinum majus.	.Androsace vitaliana.	.Asperula hirta.	.Asperula cynanchica.	.Saxifraga longifolia.	.Saxifraga hirsuta.	
Plant morphological adaptations: seed or dispersal unit metamorphoses	813	0	5	4	5	0	4	4	0	4	0	0	0	5	0	5	0	4	0	0	4	0	0	
Plant morphological adaptations: shoot metamorphoses	817	0	2	2	2	0	6	4	0	1	0	0	0	5	0	2	0	4	0	0	5	0	2	
Plant morphological adaptations: storage organs	816	0	4	5	7	0	0	9	0	3	0	0	0	8	0	2	0	3	1	0	3	0	0	
Plant nitrogen(N) fixation capacity	8	0	9	1	6	0	7	10	0	2	0	0	0	9	0	8	0	3	0	0	3	0	1	
Plant number of offspring shoots per parent shoot per year	361	0	3	5	7	0	2	11	0	7	0	0	0	17	0	1	0	3	1	0	2	0	0	
Plant nutrition mode (heterotrophy)	201	0	8	1	2	0	3	3	0	3	0	0	0	5	0	4	0	4	0	0	6	0	5	
Plant ontogeny: age of maturity (first flowering)	155	0	3	5	9	0	4	18	0	6	0	0	0	19	0	4	0	2	1	0	2	0	0	
Plant propagation type	609	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	
Plant reproductive phenology timing (flowering time)	335	0	27	6	30	0	30	32	0	18	0	0	0	72	0	31	0	26	0	0	48	0	10	
Plant resprouting capacity	819	0	0	0	0	0	0	1	0	2	0	0	0	3	0	2	0	1	0	0	2	0	0	
Plant vegetative regeneration capacity	344	0	3	0	2	0	3	5	0	3	0	0	0	6	0	2	0	2	0	0	4	0	1	
Plant vegetative regeneration species offspring size relative to parent	1008	0	3	5	8	0	2	11	0	7	0	0	0	18	0	1	0	3	1	0	2	0	0	
Plant vegetative reproduction: clonality of ramets	329	0	0	0	0	0	1	1	0	2	0	0	0	2	0	2	0	1	0	0	2	0	2	
Plant vegetative reproduction: lateral spread	334	0	4	5	8	0	2	12	0	8	0	0	0	20	0	1	0	3	1	0	2	0	0	
Plant vegetative reproduction: pattern forming	1206	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0	
Plant vegetative reproduction: persistence of connection between clonal growth organs	358	0	3	5	8	0	2	11	0	7	0	0	0	18	0	1	0	3	1	0	2	0	0	
Plant vegetative reproduction: role of clonal growth organ in plant growth	357	0	3	5	8	0	2	10	0	7	0	0	0	18	0	1	0	3	1	0	2	0	0	
Plant woodiness	38	0	8	4	7	1	20	17	1	5	1	6	0	30	0	11	0	7	2	0	11	1	5	
Pollination syndrome	29	0	11	8	5	0	11	15	0	5	0	0	0	22	0	11	0	8	0	0	14	0	2	
Root position along clonal growth organ	1093	0	3	4	8	0	2	11	0	7	0	0	0	18	0	1	0	3	1	0	1	0	0	
Root rooting depth	6	0	0	0	0	0	0	1	0	2	0	0	0	4	0	0	0	1	0	0	5	0	0	
Root type, root architecture	65	0	4	4	7	0	1	10	0	4	0	0	0	9	0	2	0	3	1	0	3	0	0	
Seed (seedbank) longevity	33	0	0	1	25	0	13	54	0	5	0	0	0	246	0	92	0	2	0	0	16	0	0	
Seed dry mass	26	0	61	3	28	1	20	95	0	33	1	18	1	119	0	30	0	35	1	0	20	1	0	
Seed germination rate (germination efficiency)	95	0	7	5	6	1	0	13	0	1	0	0	0	8	0	1	0	5	0	0	6	0	0	
Seed germination stimulation	34	0	0	0	0	0	0	3	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	
Seed heteromorphy	234	0	0	0	4	0	1	4	0	2	0	0	0	4	0	0	0	4	0	0	0	0	0	
Seed length	27	0	2	1	7	0	7	9	0	8	0	0	0	15	0	3	0	7	0	0	3	0	0	
Seed morphology type	350	0	3	1	1	0	2	7	0	3	0	0	0	6	0	3	0	1	0	0	1	0	0	
Seed number per dispersal unit	351	0	1	1	1	0	1	1	0	1	0	0	0	4	0	1	0	1	0	0	1	0	0	
Seed number per ground area	3603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Seed oil content per seed mass	96	0	1	0	6	0	0	4	0	2	0	0	0	7	0	0	0	6	0	0	0	0	0	
Seed protein content per seed mass	97	0	0	0	5	0	0	3	0	2	0	0	0	6	0	0	0	5	0	0	0	0	0	
Seed storage behaviour	98	0	0	1	2	0	1	1	0	1	0	1	0	1	0	1	0	3	0	0	1	0	0	
Seed structure type	1108	0	2	1	1	0	1	3	0	1	0	0	0	2	0	2	0	1	0	0	1	0	0	
Seed terminal velocity	66	0	4	1	6	0	1	12	0	0	0	0	0	66	0	26	0	5	0	0	10	0	0	
Seed thickness	238	0	0	0	6	0	6	6	0	0	0	0	0	14	0	1	0	6	0	0	0	0	0	
Seed width	239	0	0	0	6	0	8	9	0	7	0	0	0	16	0	1	0	7	0	0	1	0	0	
Seedbank density	1111	0	0	1	23	0	10	30	0	3	0	0	0	237	0	43	0	4	0	0	15	0	0	
Seedbank duration	2809	0	0	1	24	0	11	21	0	3	0	0	0	226	0	32	0	1	0	0	14	0	0	
Seedbank number of layers	2807	0	0	1	24	0	11	21	0	3	0	0	0	233	0	33	0	1	0	0	15	0	0	
Seedbank thickness of top layer	2808	0	0	0	15	0	11	20	0	1	0	0	0	189	0	22	0	1	0	0	13	0	0	
Seedbank type	159	0	0	2	48	0	23	63	0	8	0	0	0	475	0	87	0	3	0	0	30	0	0	
Seedling establishment	3620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Shoot branching type; shoot branching architecture	140	0	6	6	10	0	5	13	0	8	0	0	0	22	0	3	0	4	1	0	3	0	0	
Shoot calcium (Ca) content per shoot dry mass	704	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	
Shoot carbon (C) content per shoot dry mass	775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Shoot cyclicity	1118	0	3	5	8	0	2	11	0	7	0	0	0	18	0	2	0	3	1	0	2	0	0	
Shoot fresh mass per shoot dry mass	1120	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	
Shoot magnesium (Mg) content per shoot dry mass	702	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	
Shoot nitrogen (N) content per shoot dry mass	339	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	
Shoot organic nitrogen (N) content per shoot dry mass	1126	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	
Shoot phosphorus (P) content per shoot dry mass	340	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	
Shoot potassium (K) content per shoot dry mass	701	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	
Shoot sodium (Na) content per shoot dry mass	1127	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	
Species environmental indicator value according to Ellenberg: continentality	1130	0	2	1	1	0	1	2	0	2	0	0	0	2	0	1	0	1	0	0	1	0	0	
Species environmental indicator value according to Ellenberg: light	1131	0	3	1	3	0	3	5	0	3	0	0	0	4	0	4	0	4	0	0	3	0	3	
Species environmental indicator value according to Ellenberg: moisture	1132	0	4	1	4	0	4	6	0	3	0	0	0	7	0	4	0	4	0	0	5	0	1	
Species environmental indicator value according to Ellenberg: nitrogen	1133	0	3	1	3	0	3	6	0	3	0	0	0	5	0	6	0	3	0	0	5	0	3	
Species environmental indicator value according to Ellenberg: pH 	1134	0	4	1	4	0	5	6	0	3	0	0	0	7	0	5	0	3	0	0	5	0	1	
Species environmental indicator value according to Ellenberg: salt tolerance	1135	0	2	1	3	0	4	4	0	2	0	0	0	3	0	4	0	3	0	0	3	0	1	
Species environmental indicator value according to Ellenberg: temperature	1136	0	4	1	3	0	3	4	0	2	0	0	0	4	0	3	0	2	0	0	2	0	0	
Species generation overlap	1137	0	3	5	8	0	2	11	0	7	0	0	0	17	0	2	0	3	1	0	2	0	0	
Species genotype: chromosome base number	221	0	3	2	3	0	2	1	0	1	0	0	0	3	0	4	0	1	0	0	3	0	0	
Species genotype: chromosome cDNA content	224	0	2	0	27	0	35	53	0	0	0	0	0	65	0	1	0	3	0	0	0	0	13	
Species genotype: chromosome number	223	0	5	3	28	0	37	56	0	2	0	0	0	71	0	4	0	4	0	0	6	0	15	
Species genotype: chromosome ploidy	222	0	10	3	29	0	38	56	0	2	0	0	0	83	0	9	0	2	0	0	3	0	13	
Species light requirement	788	0	1	0	0	0	1	2	0	1	0	0	0	4	0	1	0	1	0	0	3	0	0	
Species nutritional relationships (mycorrhizal symbioses, N-fixation, parasitism, carnivory, …)	3488	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	
Species occurrence range characteristics	1140	0	0	0	4	0	18	24	0	25	0	0	0	30	0	24	0	18	0	0	36	0	38	
Species occurrence range: climate type	825	0	0	0	0	0	9	7	0	0	0	0	0	6	0	3	0	1	0	0	0	0	0	
Species occurrence range: continentality	823	0	4	4	5	0	5	1	0	5	0	0	0	5	0	5	0	5	0	0	6	0	2	
Species occurrence range: endemism	244	0	1	1	1	0	1	1	0	1	0	0	0	1	0	2	0	2	0	0	1	0	0	
Species occurrence range: invasiveness	824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Species occurrence range: mode of introduction	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	
Species occurrence range: native vs invasive	218	0	6	7	10	1	8	6	0	6	0	0	0	4	0	4	0	3	0	0	6	0	1	
Species occurrence range: neophyt status	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Species occurrence range: number of floristic zones	200	0	1	1	1	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	
Species occurrence range: origin zonal	827	0	2	2	3	0	2	1	0	1	1	0	1	1	0	2	0	2	0	0	1	0	1	
Species phyto-sociological group	230	0	4	3	6	0	4	5	0	2	0	0	0	10	0	2	0	2	0	0	5	0	0	
Species reproduction type	208	0	1	1	1	0	1	1	0	1	0	0	0	1	0	1	0	2	0	0	1	0	0	
Species start of CGO formation versus reproduction	1146	0	3	5	8	0	2	11	0	7	0	0	0	17	0	2	0	3	1	0	2	0	0	
Species status (nativity at growth location)	1145	0	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	4	0	2	
Species strategy type according to Grime	196	0	4	1	1	0	1	5	0	5	0	0	0	5	0	2	0	1	0	0	2	0	0	
Species tolerance to fire	318	0	0	0	0	0	0	0	0	1	0	0	0	8	0	3	0	1	0	0	2	0	0	
Species tolerance to frost	31	0	1	1	0	0	1	2	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	
Species tolerance to human impact	199	0	5	4	4	0	4	4	0	4	0	0	0	7	0	4	0	5	0	0	4	0	0	
Species tolerance to shade	603	0	0	0	0	0	8	3	0	2	0	0	0	5	0	5	0	4	0	0	12	0	4	
Stem longevity	1187	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	1	0	0	4	0	2	
Stem self-supporting	1188	0	0	0	0	0	1	2	0	1	0	0	0	1	0	1	0	1	0	0	8	0	2	
Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density	4	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Tillering type	1194	0	3	4	8	0	2	11	0	7	0	0	0	18	0	2	0	3	1	0	2	0	0	
Wood axial parenchyma types	1211	0	2	2	4	1	1	5	0	0	0	0	0	1	3	2	2	2	2	0	3	0	0	
Wood fiber cell wall thickness	1216	0	1	0	2	1	1	2	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	
Wood fiber-pits types	1220	0	1	0	2	1	1	2	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	
Wood growth ring distinction	273	0	3	6	8	3	3	7	0	0	0	0	0	3	3	2	3	3	3	0	3	0	0	
Wood ray types	1234	0	3	8	12	3	2	4	0	0	0	0	0	2	4	5	3	3	1	0	3	0	0	
Wood vessel density	1237	0	1	2	4	1	1	4	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	
Wood vessel diameter	1238	0	1	2	4	1	1	3	0	0	0	0	0	1	1	2	1	2	1	0	1	0	0	
Wood vessel distribution	1239	0	2	2	8	2	1	4	0	0	0	0	0	3	1	1	2	2	1	0	2	0	0	
Wood vessel intervessel pits	1240	0	1	2	4	1	1	7	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	
Wood vessel perforation plates	278	0	2	2	4	1	1	3	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	
Wood vesselless (vessels absent)	284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Bark crystals	831	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	
Bark structure 	837	0	1	4	2	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	
Crown (canopy) width	325	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Dispersal unit floating capacity	1263	0	0	20	21	0	9	279	0	1	0	0	0	256	0	0	0	0	0	0	1	0	0	
Leaf area (in case of compound leaves: leaf, petiole included)	3110	0	32	0	23	0	41	60	0	0	0	0	0	145	0	10	0	0	0	0	10	0	0	
Leaf area (in case of compound leaves: leaflet, petiole included)	3111	0	5	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	
Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	3116	0	37	0	36	0	41	67	0	0	0	0	0	169	0	277	0	0	0	0	16	0	0	
Leaf fresh mass	163	0	57	0	20	0	25	75	0	5	0	0	0	127	0	10	0	0	0	0	10	0	0	
Leaf nitrogen (N) content per leaf dry mass	14	0	5	0	10	0	10	19	0	0	0	0	0	29	0	5	0	0	0	0	2	0	2	
Leaf palatability	152	0	0	0	1	0	1	2	0	1	0	0	0	23	0	0	0	0	0	0	2	0	0	
Leaf phosphorus (P) content per leaf dry mass	15	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	
Leaf water content per leaf dry mass (not saturated)	3120	0	4	0	44	0	40	74	0	0	0	0	0	80	0	0	0	0	0	0	2	0	0	
Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant	403	0	0	0	4	0	0	2	0	0	0	0	0	1043	0	0	0	0	0	0	1	0	0	
Plant dry mass height distribution	1026	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Plant growth form detailed consolidated	3401	0	1	1	1	1	1	0	1	1	0	1	0	0	1	2	0	0	1	1	1	0	1	
Pollen diameter	1042	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	2	0	0	
Root root hair presence	1076	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	
Seed germination requirement	596	0	0	1	1	0	0	2	0	5	0	0	0	13	0	0	0	0	0	0	1	0	0	
Seed number per ramet	336	0	0	0	13	0	1	0	0	0	0	0	0	15	0	1	0	0	0	0	1	0	0	
Seed number per reproducton unit	138	0	2	0	25	0	5	15	0	2	0	0	0	24	0	14	0	0	0	0	2	0	0	
Seed number per square meter	1105	0	1	0	6	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	
Seed releasing height	1107	0	0	0	0	0	0	0	0	0	0	0	0	462	0	0	0	0	0	0	1	0	0	
Shoot emergences (pubescence, hairs, spines, thorns)	1255	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	
Species genotype: chromosome number sporophytic	3098	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	
Species nutrient requirements	1138	0	1	0	0	0	2	4	0	2	0	0	0	2	0	5	0	0	0	0	3	0	2	
Species occurrence rang: typical abundance where naturally occurring	1139	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	
Species soil pH requirement	1142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	
Species tolerance to grazing	228	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	
Species tolerance to mowing	227	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	
Species tolerance to trampling	229	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	
Stomata density	63	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	
Wood vessel vestured pits	1243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Species occurrence range: altitude of origin	826	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Wood fibers absent	1221	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Wood fibers absent in the center, present at the periphery of the stem	1222	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Wood vessel cell-wall thickness	1236	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Bark sieve tubes grouping	836	0	1	0	2	0	1	1	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	
Leaf carbon (C) content per leaf area	570	0	0	0	6	0	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	
Leaf carbon (C) content per leaf dry mass	13	0	5	0	10	0	7	15	0	0	0	0	0	26	0	3	0	0	0	0	0	0	0	
Leaf carbon/nitrogen (C/N) ratio	146	0	3	0	5	0	5	13	0	0	0	0	0	13	0	3	0	0	0	0	0	0	0	
Leaf nitrogen (N) content per leaf area	50	0	0	0	6	0	2	9	0	0	0	0	0	12	0	2	0	0	0	0	0	0	2	
Plant height to plant dry mass ratio	3010	0	0	0	3	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	
Plant vegetative reproduction: clonal growth organ	356	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Root morphological adaptations: aerenchyma	815	0	2	0	1	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	
Seed fructans content per seed dry mass	3586	0	3	0	3	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
Seed nitrogen (N) content per dry mass (or diaspore)	2945	0	3	0	3	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
Seed phosphorus (P) content per dry mass (or diaspore)	3000	0	3	0	3	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
Seed starch content per seed dry mass	3585	0	3	0	3	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	
Dispersal frequency	890	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Flowering requirement (requirement for fertility)	597	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Plant exposure	1027	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Seed or fruit biomass per ground area	1110	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
